#BPM:110
64,4,72
68,4,74
72,4,76
76,4,72
80,4,72
84,4,74
88,4,76
92,4,72
96,4,76
100,4,77
104,8,79
112,4,76
116,4,77
120,8,79
128,2,79
130,2,81
132,2,79
134,2,77
136,4,76
140,4,72
144,2,79
146,2,81
148,2,79
150,2,77
152,4,76
156,4,72
160,4,76
164,4,67
168,8,72
176,4,76
180,4,67
184,8,72
192,2,79
194,2,81
196,2,79
198,2,77
200,4,76
204,4,72
208,2,79
210,2,81
212,2,79
214,2,77
216,4,76
220,4,72
224,4,76
228,4,67
232,8,72
240,4,76
244,4,67
248,8,72
256,4,72
260,4,74
264,4,76
268,4,72
272,4,72
276,4,74
280,4,76
284,4,72
288,4,76
292,4,77
296,8,79
304,4,76
308,4,77
312,8,79
320,2,79
322,2,81
324,2,79
326,2,77
328,4,76
332,4,72
336,2,79
338,2,81
340,2,79
342,2,77
344,4,76
348,4,72
352,4,76
356,4,67
360,8,72
368,4,76
372,4,67
376,8,72
384,2,79
386,2,81
388,2,79
390,2,77
392,4,76
396,4,72
400,2,79
402,2,81
404,2,79
406,2,77
408,4,76
412,4,72
416,4,76
420,4,67
424,8,72
432,4,76
436,4,67
440,8,72
448,4,72
452,4,74
456,4,76
460,4,72
464,4,72
468,4,74
472,4,76
476,4,72
480,4,76
484,4,77
488,8,79
496,4,76
500,4,77
504,8,79
512,2,79
514,2,81
516,2,79
518,2,77
520,4,76
524,4,72
528,2,79
530,2,81
532,2,79
534,2,77
536,4,76
540,4,72
544,4,76
548,4,67
552,8,72
560,4,76
564,4,67
568,8,72
576,2,79
578,2,81
580,2,79
582,2,77
584,4,76
588,4,72
592,2,79
594,2,81
596,2,79
598,2,77
600,4,76
604,4,72
608,4,76
612,4,67
616,8,72
624,4,76
628,4,67
632,8,72
640,4,72
644,4,74
648,4,76
652,4,72
656,4,72
660,4,74
664,4,76
668,4,72
672,4,76
676,4,77
680,8,79
688,4,76
692,4,77
696,8,79
704,2,79
706,2,81
708,2,79
710,2,77
712,4,76
716,4,72
720,2,79
722,2,81
724,2,79
726,2,77
728,4,76
732,4,72
736,4,76
740,4,67
744,8,72
752,4,76
756,4,67
760,8,72
768,2,79
770,2,81
772,2,79
774,2,77
776,4,76
780,4,72
784,2,79
786,2,81
788,2,79
790,2,77
792,4,76
796,4,72
800,4,76
804,4,67
808,8,72
816,4,76
820,4,67
824,8,72
832,4,72
836,4,74
840,4,76
844,4,72
848,4,72
852,4,74
856,4,76
860,4,72
864,4,76
868,4,77
872,8,79
880,4,76
884,4,77
888,8,79
896,2,79
898,2,81
900,2,79
902,2,77
904,4,76
908,4,72
912,2,79
914,2,81
916,2,79
918,2,77
920,4,76
924,4,72
928,4,76
932,4,67
936,8,72
944,4,76
948,4,67
952,8,72
960,2,79
962,2,81
964,2,79
966,2,77
968,4,76
972,4,72
976,2,79
978,2,81
980,2,79
982,2,77
984,4,76
988,4,72
992,4,76
996,4,67
1000,8,72
1008,4,76
1012,4,67
1016,8,72
1024,4,72
1028,4,74
1032,4,76
1036,4,72
1040,4,72
1044,4,74
1048,4,76
1052,4,72
1056,4,76
1060,4,77
1064,8,79
1072,4,76
1076,4,77
1080,8,79
1088,2,79
1090,2,81
1092,2,79
1094,2,77
1096,4,76
1100,4,72
1104,2,79
1106,2,81
1108,2,79
1110,2,77
1112,4,76
1116,4,72
1120,4,76
1124,4,67
1128,8,72
1136,4,76
1140,4,67
1144,8,72
1152,2,79
1154,2,81
1156,2,79
1158,2,77
1160,4,76
1164,4,72
1168,2,79
1170,2,81
1172,2,79
1174,2,77
1176,4,76
1180,4,72
1184,4,76
1188,4,67
1192,8,72
1200,4,76
1204,4,67
1208,8,72
1216,4,72
1220,4,74
1224,4,76
1228,4,72
1232,4,72
