#BPM:110
64,4,72
68,4,74
72,4,76
76,4,72
80,4,72
84,4,74
88,4,76
92,4,72
96,4,76
100,4,77
104,8,79
112,4,76
116,4,77
120,8,79
128,2,79
130,2,81
132,2,79
134,2,77
136,4,76
140,4,72
144,2,79
146,2,81
148,2,79
150,2,77
152,4,76
156,4,72
160,4,76
164,4,67
168,8,72
176,4,76
180,4,67
184,8,72
192,2,79
194,2,81
196,2,79
198,2,77
200,4,76
204,4,72
208,2,79
210,2,81
212,2,79
214,2,77
216,4,76
220,4,72
224,4,76
228,4,67
232,8,72
240,4,76
244,4,67
248,8,72
256,4,72
260,4,74
264,4,76
268,4,72
272,4,72
276,4,74
280,4,76
284,4,72
288,4,76
292,4,77
296,8,79
304,4,76
308,4,77
312,8,79
320,2,79
322,2,81
324,2,79
326,2,77
328,4,76
332,4,72
336,2,79
338,2,81
340,2,79
342,2,77
344,4,76
348,4,72
352,4,76
356,4,67
360,8,72
368,4,76
372,4,67
376,8,72
384,2,79
386,2,81
388,2,79
390,2,77
392,4,76
396,4,72
400,2,79
402,2,81
404,2,79
406,2,77
408,4,76
412,4,72
416,4,76
420,4,67
424,8,72
432,4,76
436,4,67
440,8,72
